InventoryID_x,Source_x,LanguageCode_x,LanguageName_x,Glottocode_x,GlottologName_x,Trump_x,LanguageFamilyRoot_x,LanguageFamilyGenus_x,Country_x,Area_x,Population_x,Latitude_x,Longitude_x,Phonemes_x,Consonants_x,Tones_x,Vowels_x,InventoryID_y,Source_y,LanguageCode_y,LanguageName_y,Glottocode_y,GlottologName_y,Trump_y,LanguageFamilyRoot_y,LanguageFamilyGenus_y,Country_y,Area_y,Population_y,Latitude_y,Longitude_y,Phonemes_y,Consonants_y,Tones_y,Vowels_y,elevation
397,UPSID,kek,K'EKCHI,kekc1242,Kekchi,1,maya,Mayan,Guatemala,America,400000,15.3788,-89.2452,26,21,0,5,397.0,UPSID,kek,K'EKCHI,kekc1242,Kekchi,1.0,maya,Mayan,Guatemala,America,400000,15.3788,-89.2452,26.0,21.0,0.0,5.0,382.1503601074219
398,UPSID,ker,KERA,kera1255,Kera,1,afas,East Chadic,Chad,Africa,44500,9.88165,15.1419,30,24,0,6,398.0,UPSID,ker,KERA,kera1255,Kera,1.0,afas,East Chadic,Chad,Africa,44500,9.88165,15.1419,30.0,24.0,0.0,6.0,336.5782165527344
399,UPSID,ket,KET,kett1243,Ket,2,yeos,Yeniseian,Russian Federation,Europe,190,63.7551,87.5466,25,18,0,7,399.0,UPSID,ket,KET,kett1243,Ket,2.0,yeos,Yeniseian,Russian Federation,Europe,190,63.7551,87.5466,25.0,18.0,0.0,7.0,25.69062423706055
400,UPSID,kfe,KOTA,kota1263,Kota (India),3,drav,Southern Dravidian,India,Asia,900,11.4978,76.9387,28,23,0,5,400.0,UPSID,kfe,KOTA,kota1263,Kota (India),3.0,drav,Southern Dravidian,India,Asia,900,11.4978,76.9387,28.0,23.0,0.0,5.0,921.4449462890625
401,UPSID,kff,KOYA,koya1251,Koya,2,drav,South-Central Dravidian,India,Asia,300000,17.6772,81.2096,24,19,0,5,401.0,UPSID,kff,KOYA,koya1251,Koya,2.0,drav,South-Central Dravidian,India,Asia,300000,17.6772,81.2096,24.0,19.0,0.0,5.0,148.4712524414062
402,UPSID,kgp,KAINGANG,kain1272,Kaingang,2,macg,Ge-Kaingang,Brazil,America,25875,-27.7671,-52.5394,27,13,0,14,402.0,UPSID,kgp,KAINGANG,kain1272,Kaingang,2.0,macg,Ge-Kaingang,Brazil,America,25875,-27.7671,-52.5394,27.0,13.0,0.0,14.0,680.6607055664062
403,UPSID,kha,KHASI,khas1269,Khasi,3,ausa,Khasian,India,Asia,865000,24.976999999999997,91.9998,29,21,0,8,403.0,UPSID,kha,KHASI,khas1269,Khasi,3.0,ausa,Khasian,India,Asia,865000,24.976999999999997,91.9998,29.0,21.0,0.0,8.0,26.0349178314209
404,UPSID,khb,LUE,luuu1242,Lu,1,taik,Kam-Tai,China,Asia,280000,21.0321,101.28200000000001,31,22,0,9,404.0,UPSID,khb,LUE,luuu1242,Lu,1.0,taik,Kam-Tai,China,Asia,280000,21.0321,101.28200000000001,31.0,22.0,0.0,9.0,1074.602294921875
405,UPSID,khk,KHALKHA,halh1238,Halh Mongolian,2,altc,Mongolic,Mongolia,Asia,2330000,48.324,106.289,33,21,0,12,405.0,UPSID,khk,KHALKHA,halh1238,Halh Mongolian,2.0,altc,Mongolic,Mongolia,Asia,2330000,48.324,106.289,33.0,21.0,0.0,12.0,1352.72314453125
406,UPSID,khl,KALIAI,lusi1240,Lusi,2,anes,Oceanic,Papua New Guinea,Pacific,2000,-5.550330000000001,149.148,21,16,0,5,406.0,UPSID,khl,KALIAI,lusi1240,Lusi,2.0,anes,Oceanic,Papua New Guinea,Pacific,2000,-5.550330000000001,149.148,21.0,16.0,0.0,5.0,118.5248184204102
407,UPSID,khm,KHMER,cent1989,Central Khmer,2,ausa,Khmer,Cambodia,Asia,12300000,12.0515,105.015,42,21,0,21,407.0,UPSID,khm,KHMER,cent1989,Central Khmer,2.0,ausa,Khmer,Cambodia,Asia,12300000,12.0515,105.015,42.0,21.0,0.0,21.0,12.00656414031982
408,UPSID,khr,KHARIA,khar1287,Kharia,4,ausa,Munda,India,Asia,292000,22.3571,84.3922,36,31,0,5,408.0,UPSID,khr,KHARIA,khar1287,Kharia,4.0,ausa,Munda,India,Asia,292000,22.3571,84.3922,36.0,31.0,0.0,5.0,359.5929870605469
409,UPSID,kio,KIOWA,kiow1266,Kiowa,1,kita,Kiowa-Tanoan,United States,America,1100,34.9403,-98.9042,42,22,0,20,409.0,UPSID,kio,KIOWA,kiow1266,Kiowa,1.0,kita,Kiowa-Tanoan,United States,America,1100,34.9403,-98.9042,42.0,22.0,0.0,20.0,441.6556701660156
410,UPSID,kir,KIRGHIZ,kirg1245,Kirghiz,2,altc,Turkic,Kyrgyzstan,Asia,2450000,42.0,74.0,30,22,0,8,410.0,UPSID,kir,KIRGHIZ,kirg1245,Kirghiz,2.0,altc,Turkic,Kyrgyzstan,Asia,2450000,42.0,74.0,30.0,22.0,0.0,8.0,3500.894775390625
411,UPSID,kjd,SOUTHERN KIWAI,sout2949,Southern Kiwai,1,trng,Kiwaian,Papua New Guinea,Pacific,9700,-8.64889,143.244,19,12,0,7,411.0,UPSID,kjd,SOUTHERN KIWAI,sout2949,Southern Kiwai,1.0,trng,Kiwaian,Papua New Guinea,Pacific,9700,-8.64889,143.244,19.0,12.0,0.0,7.0,22.7159595489502
412,UPSID,kjg,KHMU?,khmu1256,Khmu,1,ausa,Palaung-Khmuic,Laos,Asia,390000,20.2463,101.671,41,23,0,18,412.0,UPSID,kjg,KHMU?,khmu1256,Khmu,1.0,ausa,Palaung-Khmuic,Laos,Asia,390000,20.2463,101.671,41.0,23.0,0.0,18.0,898.330810546875
413,UPSID,kjq,ACOMA,west2632,Western Keres,1,kere,Keresan,United States,America,3390,34.9733,-107.51700000000001,51,39,0,12,413.0,UPSID,kjq,ACOMA,west2632,Western Keres,1.0,kere,Keresan,United States,America,3390,34.9733,-107.51700000000001,51.0,39.0,0.0,12.0,1858.633056640625
